ID,image_path,target
0,0.JPEG,328
1,1.JPEG,414
3,3.JPEG,17
4,4.JPEG,388
5,5.JPEG,20
7,7.JPEG,171
8,8.JPEG,14
9,9.JPEG,276
10,10.JPEG,398
14,14.JPEG,390
16,16.JPEG,117
17,17.JPEG,24
18,18.JPEG,1
20,20.JPEG,290
24,24.JPEG,441
25,25.JPEG,312
28,28.JPEG,436
30,30.JPEG,266
31,31.JPEG,300
34,34.JPEG,236
35,35.JPEG,109
36,36.JPEG,86
39,39.JPEG,408
40,40.JPEG,290
43,43.JPEG,24
44,44.JPEG,103
47,47.JPEG,197
49,49.JPEG,259
50,50.JPEG,436
55,55.JPEG,12
57,57.JPEG,355
58,58.JPEG,428
60,60.JPEG,286
61,61.JPEG,7
65,65.JPEG,463
67,67.JPEG,495
69,69.JPEG,12
72,72.JPEG,435
74,74.JPEG,351
75,75.JPEG,202
76,76.JPEG,292
80,80.JPEG,338
82,82.JPEG,166
83,83.JPEG,109
84,84.JPEG,367
85,85.JPEG,306
86,86.JPEG,102
87,87.JPEG,20
93,93.JPEG,439
94,94.JPEG,114
95,95.JPEG,138
98,98.JPEG,274
99,99.JPEG,171
100,100.JPEG,90
101,101.JPEG,246
103,103.JPEG,242
106,106.JPEG,438
107,107.JPEG,172
109,109.JPEG,30
110,110.JPEG,356
112,112.JPEG,171
113,113.JPEG,223
116,116.JPEG,304
117,117.JPEG,294
118,118.JPEG,219
119,119.JPEG,361
120,120.JPEG,441
122,122.JPEG,5
123,123.JPEG,96
126,126.JPEG,494
128,128.JPEG,464
129,129.JPEG,406
130,130.JPEG,221
132,132.JPEG,475
136,136.JPEG,42
138,138.JPEG,444
142,142.JPEG,379
143,143.JPEG,270
145,145.JPEG,267
148,148.JPEG,13
149,149.JPEG,23
155,155.JPEG,498
156,156.JPEG,262
157,157.JPEG,154
158,158.JPEG,285
163,163.JPEG,351
165,165.JPEG,96
169,169.JPEG,218
174,174.JPEG,438
175,175.JPEG,178
176,176.JPEG,24
177,177.JPEG,11
178,178.JPEG,399
179,179.JPEG,229
180,180.JPEG,332
